path_id	entrez_id
1	653464
1	101060684
1	653505
1	653820
1	728841
1	101929796
2	10905
2	3284
2	9554
2	54855
2	54834
2	10885
2	200162
2	6913
2	3283
2	90874
2	3158
2	83998
2	11085
2	26227
2	10352
2	51179
2	4853
2	79679
3	10768
3	10451
3	57535
3	56944
3	10745
3	55917
3	85369
3	29957
3	10100
3	9860
3	388662
3	5738
3	10286
3	80263
3	81839
3	6847
3	7252
3	55356
3	257
3	4808
3	51592
3	963
3	8458
3	260425
3	164153
3	163259
3	914
3	1435
3	27159
3	965
3	54879
3	7482
3	476
3	113802
3	55119
3	163479
3	6814
3	56900
3	3321
3	84432
3	3744
3	3737
3	29899
3	845
3	148281
3	127003
3	3749
3	55170
3	9122
3	10542
3	55924
3	55791
3	79961
3	1117
3	128338
3	284613
3	57463
3	2773
3	2780
3	6566
3	4803
3	271
3	11218
3	22854
3	64783
3	126868
3	284612
3	4893
3	80143
3	148545
3	127002
3	270
3	9398
3	22911
3	653149
3	829
3	389
3	284467
3	4343
3	6884
3	7812
3	83873
3	254268
3	23155
3	5016
3	79084
3	515
3	128346
3	57413
3	140
3	5906
3	333926
3	6301
3	1952
3	84722
3	343263
3	6272
3	5686
3	54665
3	26191
3	440603
3	10717
3	204851
3	64858
3	3738
3	10390
3	3752
3	2948
3	2946
3	2944
3	2949
3	2947
3	79574
4	126969
4	5825
4	199857
4	1266
4	1806
4	148534
4	1901
4	2152
4	7412
4	54112
4	25950
4	23443
4	178
4	55599
4	51375
4	148867
4	8556
4	100527978
4	2135
4	391059
4	118427
4	64645
4	163786
4	127495
4	1629
4	8634
4	276
4	277
4	278
4	280
4	279
4	9890
4	54482
4	54873
4	51611
4	163404
4	1301
4	58155
5	255231
5	54680
5	8543
5	56267
5	30836
5	255631
5	5586
5	8412
5	343472
5	55144
5	9411
5	2730
5	7049
5	23566
5	284695
5	2959
5	164045
5	8317
5	163351
5	84230
5	3491
5	148423
5	253152
5	1810
5	23507
5	284697
5	494115
5	2635
5	2633
5	2634
5	388646
5	115361
5	23576
5	676
5	6125
5	388650
5	22823
5	54874
5	388649
5	11146
5	79871
5	50999
5	343099
5	24
5	84146
5	115362
5	9403
5	9653
5	9635
5	1179
5	22802
5	126820
5	55283
5	84144
5	2672
5	80135
5	2787
5	1486
5	117178
5	646817
5	8915
5	57489
5	51100
5	7813
5	100505741
6	54596
6	23169
6	163782
6	7398
6	26289
6	54810
6	6121
6	27329
6	9829
6	205
6	54741
6	57685
6	84455
6	81849
6	84938
6	127247
6	64123
6	79739
6	5737
6	10026
6	256435
6	85440
6	257194
6	26009
6	83941
6	5236
6	55635
6	55631
6	81573
6	1491
6	57554
6	3953
6	23032
6	23421
6	26135
6	57708
6	10964
6	10561
6	5876
6	4438
6	127255
6	51086
6	105378803
6	127254
6	1429
6	127253
6	100526835
6	148418
6	58511
6	9406
6	200132
6	79819
6	84251
6	8790
6	10022
6	148581
6	4919
6	5567
6	10207
6	9077
6	23266
6	5733
6	5142
6	204962
6	374986
6	9295
6	431707
6	3595
6	400757
6	149233
6	27022
6	29929
6	1647
6	55970
6	79971
6	34
6	3716
6	4774
6	91624
6	11080
6	8880
6	55225
7	55001
7	55268
7	5865
7	199964
7	54987
7	338094
7	127435
7	114883
7	25973
7	440590
7	79699
7	51060
7	7268
7	8613
7	1376
7	23318
7	4116
7	1031
7	127795
7	115209
7	7804
7	127428
7	112970
7	115353
7	374977
7	84950
7	348378
7	1718
7	7809
7	2882
7	100527960
7	54432
7	388633
7	63950
7	6342
7	65260
7	9528
7	91408
7	199920
7	6512
7	55277
7	4998
